,1000020,1000041,1000048,1000074,1000083,1000093,1000113,1000119,1000127,1000150,1000154,1000164,1000176,1000186,1000188,1000191,1000221,1000224,1000239,1000245,1000257,1000259,1000273,1000276
Belsize Park,0.0,49.0,44.0,59.0,18.0,13.0,26.0,21.0,29.0,58.0,48.0,40.0,49.0,31.0,36.0,17.0,20.0,44.0,10.0,40.0,36.0,33.0,46.0,25.0
Canons Park,49.0,0.0,63.0,79.0,44.0,31.0,41.0,40.0,39.0,33.0,67.0,17.0,47.0,41.0,57.0,30.0,40.0,40.0,50.0,61.0,8.0,41.0,64.0,65.0
Chiswick Park,44.0,63.0,0.0,74.0,40.0,26.0,24.0,24.0,38.0,63.0,67.0,47.0,15.0,40.0,5.0,32.0,24.0,53.0,43.0,59.0,51.0,23.0,29.0,58.0
Elm Park,59.0,79.0,74.0,0.0,58.0,46.0,54.0,56.0,62.0,87.0,53.0,71.0,85.0,64.0,69.0,50.0,50.0,76.0,62.0,18.0,67.0,64.0,76.0,77.0
Finsbury Park,18.0,44.0,40.0,58.0,0.0,11.0,23.0,19.0,27.0,52.0,45.0,36.0,46.0,29.0,33.0,15.0,18.0,40.0,19.0,38.0,31.0,24.0,44.0,34.0
Green Park,13.0,31.0,26.0,46.0,11.0,0.0,14.0,3.0,15.0,38.0,41.0,23.0,29.0,17.0,17.0,5.0,9.0,29.0,15.0,29.0,19.0,18.0,27.0,30.0
Holland Park,26.0,41.0,24.0,54.0,23.0,14.0,0.0,21.0,21.0,50.0,43.0,34.0,38.0,23.0,29.0,15.0,21.0,35.0,26.0,35.0,29.0,19.0,29.0,41.0
Hyde Park Corner,21.0,40.0,24.0,56.0,19.0,3.0,21.0,0.0,23.0,48.0,45.0,33.0,27.0,25.0,15.0,11.0,16.0,36.0,23.0,37.0,28.0,26.0,25.0,38.0
Kilburn Park,29.0,39.0,38.0,62.0,27.0,15.0,21.0,23.0,0.0,46.0,52.0,31.0,47.0,4.0,33.0,11.0,23.0,14.0,31.0,44.0,26.0,13.0,35.0,46.0
Moor Park,58.0,33.0,63.0,87.0,52.0,38.0,50.0,48.0,46.0,0.0,76.0,15.0,46.0,49.0,66.0,39.0,49.0,39.0,58.0,69.0,20.0,49.0,76.0,73.0
Newbury Park,48.0,67.0,67.0,53.0,45.0,41.0,43.0,45.0,52.0,76.0,0.0,64.0,72.0,54.0,61.0,40.0,42.0,66.0,52.0,30.0,59.0,56.0,68.0,66.0
Northwick Park,40.0,17.0,47.0,71.0,36.0,23.0,34.0,33.0,31.0,15.0,64.0,0.0,29.0,32.0,49.0,24.0,33.0,17.0,43.0,51.0,5.0,32.0,58.0,58.0
Park Royal,49.0,47.0,15.0,85.0,46.0,29.0,38.0,27.0,47.0,46.0,72.0,29.0,0.0,45.0,19.0,38.0,32.0,57.0,51.0,65.0,36.0,32.0,38.0,66.0
Queen's Park,31.0,41.0,40.0,64.0,29.0,17.0,23.0,25.0,4.0,49.0,54.0,32.0,45.0,0.0,35.0,13.0,25.0,10.0,33.0,46.0,28.0,15.0,37.0,48.0
Ravenscourt Park,36.0,57.0,5.0,69.0,33.0,17.0,29.0,15.0,33.0,66.0,61.0,49.0,19.0,35.0,0.0,28.0,19.0,43.0,40.0,51.0,45.0,18.0,24.0,55.0
Regent's Park,17.0,30.0,32.0,50.0,15.0,5.0,15.0,11.0,11.0,39.0,40.0,24.0,38.0,13.0,28.0,0.0,12.0,24.0,21.0,33.0,18.0,14.0,36.0,36.0
St. James's Park,20.0,40.0,24.0,50.0,18.0,9.0,21.0,16.0,23.0,49.0,42.0,33.0,32.0,25.0,19.0,12.0,0.0,38.0,22.0,31.0,29.0,27.0,29.0,37.0
Stonebridge Park,44.0,40.0,53.0,76.0,40.0,29.0,35.0,36.0,14.0,39.0,66.0,17.0,57.0,10.0,43.0,24.0,38.0,0.0,45.0,57.0,27.0,27.0,50.0,60.0
Tufnell Park,10.0,50.0,43.0,62.0,19.0,15.0,26.0,23.0,31.0,58.0,52.0,43.0,51.0,33.0,40.0,21.0,22.0,45.0,0.0,42.0,37.0,31.0,47.0,15.0
Upton Park,40.0,61.0,59.0,18.0,38.0,29.0,35.0,37.0,44.0,69.0,30.0,51.0,65.0,46.0,51.0,33.0,31.0,57.0,42.0,0.0,48.0,45.0,59.0,57.0
Wembley Park,36.0,8.0,51.0,67.0,31.0,19.0,29.0,28.0,26.0,20.0,59.0,5.0,36.0,28.0,45.0,18.0,29.0,27.0,37.0,48.0,0.0,27.0,53.0,54.0
Westbourne Park,33.0,41.0,23.0,64.0,24.0,18.0,19.0,26.0,13.0,49.0,56.0,32.0,32.0,15.0,18.0,14.0,27.0,27.0,31.0,45.0,27.0,0.0,35.0,51.0
Wimbledon Park,46.0,64.0,29.0,76.0,44.0,27.0,29.0,25.0,35.0,76.0,68.0,58.0,38.0,37.0,24.0,36.0,29.0,50.0,47.0,59.0,53.0,35.0,0.0,65.0
Woodside Park,25.0,65.0,58.0,77.0,34.0,30.0,41.0,38.0,46.0,73.0,66.0,58.0,66.0,48.0,55.0,36.0,37.0,60.0,15.0,57.0,54.0,51.0,65.0,0.0
